rcept_no,rcept_dt,split,t1,t2
20190730000032,20190730,train,자기주식취득,주가안정·주주가치
20190726000377,20190726,train,자기주식취득,기타
20190725000065,20190725,train,자기주식취득,주가안정·주주가치
20190724000351,20190724,train,자기주식취득,주가안정·주주가치
20190724000236,20190724,train,자기주식취득,주가안정·주주가치
20190723000242,20190723,train,자기주식취득,주가안정·주주가치
20190712000082,20190712,train,자기주식취득,주가안정·주주가치
20190711000341,20190711,train,자기주식취득,임직원 보상
20190710000282,20190710,train,자기주식취득,주가안정·주주가치
20190709000016,20190709,train,자기주식취득,주가안정·주주가치
20190828000476,20190828,train,자기주식취득,주가안정·주주가치
20190828000248,20190828,train,자기주식취득,주가안정·주주가치
20190828000015,20190828,train,자기주식취득,주가안정·주주가치
20190826000241,20190826,train,자기주식취득,주가안정·주주가치
20190822000311,20190822,train,자기주식취득,주가안정·주주가치
20190816000255,20190816,train,자기주식취득,주가안정·주주가치
20190813000230,20190813,train,자기주식취득,주가안정·주주가치
20190813000028,20190813,train,자기주식취득,주가안정·주주가치
20190809000230,20190809,train,자기주식취득,기타
20190808000240,20190808,train,자기주식취득,주가안정·주주가치
20190808000111,20190808,train,자기주식취득,주가안정·주주가치
20190806000218,20190806,train,자기주식취득,주가안정·주주가치
20190806000110,20190806,train,자기주식취득,주가안정·주주가치
20190930000207,20190930,train,자기주식취득,기타
20190925000692,20190925,train,자기주식취득,주가안정·주주가치
20190923001609,20190923,train,자기주식취득,주가안정·주주가치
20190911000471,20190911,train,자기주식취득,주가안정·주주가치
20190909000895,20190909,train,자기주식취득,주가안정·주주가치
20190909000359,20190909,train,자기주식취득,주가안정·주주가치
20191029000435,20191029,train,자기주식취득,소각
20191028000215,20191028,train,자기주식취득,주가안정·주주가치
20191024000248,20191024,train,자기주식취득,임직원 보상
20191023000404,20191023,train,자기주식취득,기타
20191016000253,20191016,train,자기주식취득,임직원 보상
20191010000437,20191010,train,자기주식취득,주가안정·주주가치
20191008000130,20191008,train,자기주식취득,기타
20191007000286,20191007,train,자기주식취득,주가안정·주주가치
20191001000154,20191001,train,자기주식취득,임직원 보상
20191001000137,20191001,train,자기주식취득,주가안정·주주가치
20191001000091,20191001,train,자기주식취득,주가안정·주주가치
20191128000742,20191128,train,자기주식취득,주가안정·주주가치
20191127000137,20191127,train,자기주식취득,주가안정·주주가치
20191127000003,20191127,train,자기주식취득,기타
20191126000157,20191126,train,자기주식취득,주가안정·주주가치
20191125000323,20191125,train,자기주식취득,소각
20191119000075,20191119,train,자기주식취득,주가안정·주주가치
20191115000271,20191115,train,자기주식취득,기타
20191113000486,20191113,train,자기주식취득,주가안정·주주가치
20191113000555,20191113,train,자기주식취득,주가안정·주주가치
20191108000291,20191108,train,자기주식취득,주가안정·주주가치
20191106000248,20191106,train,자기주식취득,주가안정·주주가치
20191219000069,20191219,train,자기주식취득,임직원 보상
20191218000380,20191218,train,자기주식취득,주가안정·주주가치
20191218000259,20191218,train,자기주식취득,기타
20191217000146,20191217,train,자기주식취득,소각
20191213000476,20191213,train,자기주식취득,임직원 보상
20191210000077,20191210,train,자기주식취득,주가안정·주주가치
20191209000238,20191209,train,자기주식취득,주가안정·주주가치
20191209000104,20191209,train,자기주식취득,임직원 보상
20191209000079,20191209,train,자기주식취득,주가안정·주주가치
20191206000322,20191206,train,자기주식취득,소각
20191205000190,20191205,train,자기주식취득,주가안정·주주가치
20191204000282,20191204,train,자기주식취득,주가안정·주주가치
20191204000063,20191204,train,자기주식취득,주가안정·주주가치
20200131000245,20200131,train,자기주식취득,주가안정·주주가치
20200131000207,20200131,train,자기주식취득,주가안정·주주가치
20200130000417,20200130,train,자기주식취득,주가안정·주주가치
20200130000309,20200130,train,자기주식취득,주가안정·주주가치
20200130000001,20200130,train,자기주식취득,소각
20200123000272,20200123,train,자기주식취득,주가안정·주주가치
20200121000192,20200121,train,자기주식취득,주가안정·주주가치
20200115000434,20200115,train,자기주식취득,기타
20200115000163,20200115,train,자기주식취득,주가안정·주주가치
20200110000363,20200110,train,자기주식취득,주가안정·주주가치
20200108000481,20200108,train,자기주식취득,주가안정·주주가치
20200108000021,20200108,train,자기주식취득,소각
20200107000409,20200107,train,자기주식취득,주가안정·주주가치
20200102000361,20200102,train,자기주식취득,임직원 보상
20200102000347,20200102,train,자기주식취득,임직원 보상
20200228005287,20200228,train,자기주식취득,주가안정·주주가치
20200228001461,20200228,train,자기주식취득,주가안정·주주가치
20200227004092,20200227,train,자기주식취득,주가안정·주주가치
20200227003439,20200227,train,자기주식취득,기타
20200226000348,20200226,train,자기주식취득,주가안정·주주가치
20200225001530,20200225,train,자기주식취득,주가안정·주주가치
20200224002100,20200224,train,자기주식취득,주가안정·주주가치
20200224001269,20200224,train,자기주식취득,주가안정·주주가치
20200221000775,20200221,train,자기주식취득,소각
20200220000860,20200220,train,자기주식취득,주가안정·주주가치
20200220000687,20200220,train,자기주식취득,소각
20200220000012,20200220,train,자기주식취득,주가안정·주주가치
20200217000338,20200217,train,자기주식취득,주가안정·주주가치
20200213000426,20200213,train,자기주식취득,주가안정·주주가치
20200211000431,20200211,train,자기주식취득,임직원 보상
20200211000081,20200211,train,자기주식취득,임직원 보상
20200210000487,20200210,train,자기주식취득,주가안정·주주가치
20200207000374,20200207,train,자기주식취득,주가안정·주주가치
20200206000137,20200206,train,자기주식취득,소각
20200205000370,20200205,train,자기주식취득,주가안정·주주가치
20200204000234,20200204,train,자기주식취득,기타
20200331002326,20200331,train,자기주식취득,주가안정·주주가치
20200331000817,20200331,train,자기주식취득,주가안정·주주가치
20200330003473,20200330,train,자기주식취득,주가안정·주주가치
20200330002146,20200330,train,자기주식취득,주가안정·주주가치
20200327002165,20200330,train,자기주식취득,주가안정·주주가치
20200327001924,20200327,train,자기주식취득,주가안정·주주가치
20200327001829,20200327,train,자기주식취득,주가안정·주주가치
20200327001624,20200327,train,자기주식취득,주가안정·주주가치
20200327000048,20200327,train,자기주식취득,주가안정·주주가치
20200327000004,20200327,train,자기주식취득,주가안정·주주가치
20200326001234,20200326,train,자기주식취득,소각
20200326000997,20200326,train,자기주식취득,주가안정·주주가치
20200326000947,20200326,train,자기주식취득,주가안정·주주가치
20200326000544,20200326,train,자기주식취득,소각
20200326000512,20200326,train,자기주식취득,주가안정·주주가치
20200326000415,20200326,train,자기주식취득,주가안정·주주가치
20200326000340,20200326,train,자기주식취득,주가안정·주주가치
20200325001182,20200325,train,자기주식취득,주가안정·주주가치
20200325001010,20200325,train,자기주식취득,주가안정·주주가치
20200325000880,20200325,train,자기주식취득,임직원 보상
20200325000709,20200325,train,자기주식취득,소각
20200325000718,20200325,train,자기주식취득,주가안정·주주가치
20200325000681,20200325,train,자기주식취득,주가안정·주주가치
20200325000442,20200325,train,자기주식취득,주가안정·주주가치
20200325000249,20200325,train,자기주식취득,소각
20200324000962,20200324,train,자기주식취득,주가안정·주주가치
20200324000898,20200324,train,자기주식취득,주가안정·주주가치
20200324000813,20200324,train,자기주식취득,주가안정·주주가치
20200324000779,20200324,train,자기주식취득,주가안정·주주가치
20200324000747,20200324,train,자기주식취득,주가안정·주주가치
20200323000951,20200323,train,자기주식취득,임직원 보상
20200323000589,20200323,train,자기주식취득,주가안정·주주가치
20200323000528,20200323,train,자기주식취득,주가안정·주주가치
20200323000533,20200323,train,자기주식취득,주가안정·주주가치
20200323000300,20200323,train,자기주식취득,주가안정·주주가치
20200323000295,20200323,train,자기주식취득,주가안정·주주가치
20200323000223,20200323,train,자기주식취득,주가안정·주주가치
20200323000209,20200323,train,자기주식취득,임직원 보상
20200323000211,20200323,train,자기주식취득,주가안정·주주가치
20200323000092,20200323,train,자기주식취득,주가안정·주주가치
20200323000030,20200323,train,자기주식취득,주가안정·주주가치
20200320000908,20200320,train,자기주식취득,기타
20200320000785,20200320,train,자기주식취득,주가안정·주주가치
20200320000786,20200320,train,자기주식취득,주가안정·주주가치
20200320000747,20200320,train,자기주식취득,주가안정·주주가치
20200320000722,20200320,train,자기주식취득,주가안정·주주가치
20200320000620,20200320,train,자기주식취득,주가안정·주주가치
20200320000566,20200320,train,자기주식취득,주가안정·주주가치
20200320000472,20200320,train,자기주식취득,주가안정·주주가치
20200320000354,20200320,train,자기주식취득,주가안정·주주가치
20200320000288,20200320,train,자기주식취득,주가안정·주주가치
20200320000263,20200320,train,자기주식취득,주가안정·주주가치
20200320000228,20200320,train,자기주식취득,주가안정·주주가치
20200320000202,20200320,train,자기주식취득,소각
20200319001088,20200319,train,자기주식취득,주가안정·주주가치
20200319000999,20200319,train,자기주식취득,주가안정·주주가치
20200319000969,20200319,train,자기주식취득,주가안정·주주가치
20200319000959,20200319,train,자기주식취득,주가안정·주주가치
20200319000904,20200319,train,자기주식취득,주가안정·주주가치
20200319000934,20200319,train,자기주식취득,주가안정·주주가치
20200319000857,20200319,train,자기주식취득,주가안정·주주가치
20200319000914,20200319,train,자기주식취득,주가안정·주주가치
20200319000883,20200319,train,자기주식취득,주가안정·주주가치
20200319000718,20200319,train,자기주식취득,주가안정·주주가치
20200319000565,20200319,train,자기주식취득,주가안정·주주가치
20200319000567,20200319,train,자기주식취득,주가안정·주주가치
20200319000543,20200319,train,자기주식취득,주가안정·주주가치
20200319000521,20200319,train,자기주식취득,임직원 보상
20200319000433,20200319,train,자기주식취득,주가안정·주주가치
20200319000331,20200319,train,자기주식취득,주가안정·주주가치
20200319000284,20200319,train,자기주식취득,주가안정·주주가치
20200318000821,20200318,train,자기주식취득,주가안정·주주가치
20200318000533,20200318,train,자기주식취득,주가안정·주주가치
20200318000521,20200318,train,자기주식취득,주가안정·주주가치
20200318000409,20200318,train,자기주식취득,주가안정·주주가치
20200318000319,20200318,train,자기주식취득,임직원 보상
20200318000241,20200318,train,자기주식취득,주가안정·주주가치
20200317000780,20200317,train,자기주식취득,임직원 보상
20200317000649,20200317,train,자기주식취득,주가안정·주주가치
20200317000625,20200317,train,자기주식취득,주가안정·주주가치
20200317000578,20200317,train,자기주식취득,주가안정·주주가치
20200317000505,20200317,train,자기주식취득,주가안정·주주가치
20200317000499,20200317,train,자기주식취득,주가안정·주주가치
20200317000316,20200317,train,자기주식취득,주가안정·주주가치
20200317000277,20200317,train,자기주식취득,주가안정·주주가치
20200317000238,20200317,train,자기주식취득,주가안정·주주가치
20200317000170,20200317,train,자기주식취득,주가안정·주주가치
20200317000155,20200317,train,자기주식취득,주가안정·주주가치
20200317000145,20200317,train,자기주식취득,주가안정·주주가치
20200317000056,20200317,train,자기주식취득,주가안정·주주가치
20200316000843,20200317,train,자기주식취득,주가안정·주주가치
20200316000552,20200316,train,자기주식취득,주가안정·주주가치
20200316000523,20200316,train,자기주식취득,주가안정·주주가치
20200316000401,20200316,train,자기주식취득,주가안정·주주가치
20200316000302,20200316,train,자기주식취득,주가안정·주주가치
20200316000254,20200316,train,자기주식취득,주가안정·주주가치
20200316000140,20200316,train,자기주식취득,주가안정·주주가치
20200316000146,20200316,train,자기주식취득,주가안정·주주가치
20200316000093,20200316,train,자기주식취득,소각
20200313000816,20200313,train,자기주식취득,주가안정·주주가치
20200313000786,20200313,train,자기주식취득,주가안정·주주가치
20200313000747,20200313,train,자기주식취득,주가안정·주주가치
20200313000575,20200313,train,자기주식취득,소각
20200313000517,20200313,train,자기주식취득,주가안정·주주가치
20200313000444,20200313,train,자기주식취득,주가안정·주주가치
20200313000225,20200313,train,자기주식취득,주가안정·주주가치
20200313000197,20200313,train,자기주식취득,주가안정·주주가치
20200312001239,20200312,train,자기주식취득,주가안정·주주가치
20200312000574,20200312,train,자기주식취득,주가안정·주주가치
20200312000515,20200312,train,자기주식취득,주가안정·주주가치
20200312000059,20200312,train,자기주식취득,주가안정·주주가치
20200311000735,20200311,train,자기주식취득,주가안정·주주가치
20200311000691,20200311,train,자기주식취득,주가안정·주주가치
20200311000462,20200311,train,자기주식취득,주가안정·주주가치
20200311000443,20200311,train,자기주식취득,주가안정·주주가치
20200309000143,20200309,train,자기주식취득,소각
20200306000783,20200306,train,자기주식취득,주가안정·주주가치
20200306000684,20200306,train,자기주식취득,주가안정·주주가치
20200306000483,20200306,train,자기주식취득,주가안정·주주가치
20200306000229,20200306,train,자기주식취득,기타
20200306000181,20200306,train,자기주식취득,주가안정·주주가치
20200305000562,20200305,train,자기주식취득,주가안정·주주가치
20200305000480,20200305,train,자기주식취득,주가안정·주주가치
20200304000793,20200304,train,자기주식취득,주가안정·주주가치
20200304000479,20200304,train,자기주식취득,주가안정·주주가치
20200303000134,20200303,train,자기주식취득,주가안정·주주가치
20200303000031,20200303,train,자기주식취득,주가안정·주주가치
20200302000335,20200302,train,자기주식취득,주가안정·주주가치
20200302000125,20200302,train,자기주식취득,주가안정·주주가치
20200424000653,20200424,train,자기주식취득,주가안정·주주가치
20200423000223,20200423,train,자기주식취득,기타
20200422000435,20200422,train,자기주식취득,주가안정·주주가치
20200422000022,20200422,train,자기주식취득,주가안정·주주가치
20200421000410,20200421,train,자기주식취득,기타
20200421000282,20200421,train,자기주식취득,주가안정·주주가치
20200421000206,20200421,train,자기주식취득,주가안정·주주가치
20200421000177,20200421,train,자기주식취득,소각
20200417000168,20200417,train,자기주식취득,기타
20200410003401,20200410,train,자기주식취득,주가안정·주주가치
20200409002047,20200409,train,자기주식취득,주가안정·주주가치
20200409002011,20200409,train,자기주식취득,주가안정·주주가치
20200408002612,20200408,train,자기주식취득,소각
20200408001889,20200408,train,자기주식취득,소각
20200408000864,20200408,train,자기주식취득,기타
20200408000630,20200408,train,자기주식취득,주가안정·주주가치
20200407002421,20200407,train,자기주식취득,주가안정·주주가치
20200406003000,20200406,train,자기주식취득,주가안정·주주가치
20200406002673,20200406,train,자기주식취득,임직원 보상
20200406002185,20200406,train,자기주식취득,주가안정·주주가치
20200401002461,20200401,train,자기주식취득,주가안정·주주가치
20200527000398,20200527,train,자기주식취득,주가안정·주주가치
20200626000093,20200626,train,자기주식취득,임직원 보상
20200622000189,20200622,train,자기주식취득,기타
20200619000220,20200619,train,자기주식취득,주가안정·주주가치
20200615000151,20200615,train,자기주식취득,소각
20200605000180,20200605,train,자기주식취득,주가안정·주주가치
20200730000240,20200730,train,자기주식취득,주가안정·주주가치
20200721000254,20200721,train,자기주식취득,주가안정·주주가치
20200716000154,20200716,train,자기주식취득,주가안정·주주가치
20200714000249,20200714,train,자기주식취득,주가안정·주주가치
20200714000246,20200714,train,자기주식취득,주가안정·주주가치
20200708000212,20200708,train,자기주식취득,주가안정·주주가치
20200702000002,20200702,train,자기주식취득,기타
20200828000524,20200828,train,자기주식취득,임직원 보상
20200825000325,20200825,train,자기주식취득,주가안정·주주가치
20200821000355,20200821,train,자기주식취득,임직원 보상
20200818000121,20200818,train,자기주식취득,주가안정·주주가치
20200813000594,20200813,train,자기주식취득,주가안정·주주가치
20200812000237,20200812,train,자기주식취득,주가안정·주주가치
20200811000095,20200811,train,자기주식취득,기타
20200810000105,20200810,train,자기주식취득,주가안정·주주가치
20200806000001,20200806,train,자기주식취득,주가안정·주주가치
20200805000062,20200805,train,자기주식취득,임직원 보상
20200929000371,20200929,train,자기주식취득,소각
20200929000140,20200929,train,자기주식취득,주가안정·주주가치
20200923000207,20200923,train,자기주식취득,주가안정·주주가치
20200922000344,20200922,train,자기주식취득,주가안정·주주가치
20200914000074,20200914,train,자기주식취득,소각
20200903000109,20200903,train,자기주식취득,임직원 보상
20201029000223,20201029,train,자기주식취득,주가안정·주주가치
20201028000129,20201028,train,자기주식취득,주가안정·주주가치
20201026000297,20201026,train,자기주식취득,임직원 보상
20201021000265,20201021,train,자기주식취득,소각
20201021000237,20201021,train,자기주식취득,주가안정·주주가치
20201021000139,20201021,train,자기주식취득,소각
20201013000284,20201013,train,자기주식취득,주가안정·주주가치
20201013000050,20201013,train,자기주식취득,주가안정·주주가치
20201119000327,20201119,train,자기주식취득,기타
20201116000391,20201116,train,자기주식취득,주가안정·주주가치
20201113000001,20201113,train,자기주식취득,주가안정·주주가치
20201103000250,20201103,train,자기주식취득,주가안정·주주가치
20201102000349,20201102,train,자기주식취득,주가안정·주주가치
20201230000602,20201230,train,자기주식취득,임직원 보상
20201230000295,20201230,train,자기주식취득,기타
20201223000558,20201223,train,자기주식취득,주가안정·주주가치
20201223000480,20201223,train,자기주식취득,주가안정·주주가치
20201218000374,20201218,train,자기주식취득,주가안정·주주가치
20201214000523,20201215,train,자기주식취득,기타
20201214000209,20201214,train,자기주식취득,주가안정·주주가치
20210128000357,20210128,train,자기주식취득,주가안정·주주가치
20210125000105,20210125,train,자기주식취득,주가안정·주주가치
20210119000045,20210119,train,자기주식취득,임직원 보상
20210114000207,20210114,train,자기주식취득,기타
20210107000361,20210107,train,자기주식취득,임직원 보상
20210226006290,20210226,train,자기주식취득,주가안정·주주가치
20210226003105,20210226,train,자기주식취득,기타
20210226001981,20210226,train,자기주식취득,임직원 보상
20210226001839,20210226,train,자기주식취득,소각
20210225003037,20210225,train,자기주식취득,주가안정·주주가치
20210224003920,20210224,train,자기주식취득,주가안정·주주가치
20210224002494,20210224,train,자기주식취득,주가안정·주주가치
20210224001317,20210224,train,자기주식취득,기타
20210218001116,20210218,train,자기주식취득,주가안정·주주가치
20210218000619,20210218,train,자기주식취득,임직원 보상
20210210001126,20210210,train,자기주식취득,주가안정·주주가치
20210210000802,20210210,train,자기주식취득,주가안정·주주가치
20210208000618,20210208,train,자기주식취득,주가안정·주주가치
20210208000518,20210208,train,자기주식취득,주가안정·주주가치
20210208000097,20210208,train,자기주식취득,소각
20210204000427,20210204,train,자기주식취득,주가안정·주주가치
20210202000280,20210202,train,자기주식취득,주가안정·주주가치
20210201000204,20210201,train,자기주식취득,주가안정·주주가치
20210331001534,20210331,train,자기주식취득,주가안정·주주가치
20210331001451,20210331,train,자기주식취득,주가안정·주주가치
20210331001241,20210331,train,자기주식취득,기타
20210330000602,20210330,train,자기주식취득,임직원 보상
20210329001204,20210329,train,자기주식취득,주가안정·주주가치
20210329001189,20210329,train,자기주식취득,주가안정·주주가치
20210325000255,20210325,train,자기주식취득,소각
20210323000195,20210323,train,자기주식취득,주가안정·주주가치
20210319001362,20210319,train,자기주식취득,임직원 보상
20210312000690,20210312,train,자기주식취득,주가안정·주주가치
20210308000445,20210308,train,자기주식취득,주가안정·주주가치
20210305000117,20210305,train,자기주식취득,주가안정·주주가치
20210304000316,20210304,train,자기주식취득,주가안정·주주가치
20210304000252,20210304,train,자기주식취득,주가안정·주주가치
20210302002821,20210302,train,자기주식취득,주가안정·주주가치
20210428000507,20210428,train,자기주식취득,임직원 보상
20210428000189,20210428,train,자기주식취득,기타
20210421000330,20210421,train,자기주식취득,주가안정·주주가치
20210412001124,20210412,train,자기주식취득,주가안정·주주가치
20210409001570,20210409,train,자기주식취득,주가안정·주주가치
20210401001254,20210401,train,자기주식취득,주가안정·주주가치
20210531000233,20210531,train,자기주식취득,주가안정·주주가치
20210528000040,20210528,train,자기주식취득,주가안정·주주가치
20210526000057,20210526,train,자기주식취득,주가안정·주주가치
20210525000114,20210525,train,자기주식취득,주가안정·주주가치
20210525000087,20210525,train,자기주식취득,주가안정·주주가치
20210520000164,20210520,train,자기주식취득,주가안정·주주가치
20210518000074,20210518,train,자기주식취득,주가안정·주주가치
20210517001186,20210517,train,자기주식취득,주가안정·주주가치
20210517000668,20210517,train,자기주식취득,기타
20210514000599,20210514,train,자기주식취득,주가안정·주주가치
20210512000494,20210512,train,자기주식취득,주가안정·주주가치
20210510000309,20210510,train,자기주식취득,주가안정·주주가치
20210507000491,20210507,train,자기주식취득,주가안정·주주가치
20210504000268,20210504,train,자기주식취득,주가안정·주주가치
20210625000001,20210625,train,자기주식취득,주가안정·주주가치
20210609000422,20210609,train,자기주식취득,임직원 보상
20210609000331,20210609,train,자기주식취득,기타
20210727000398,20210728,train,자기주식취득,주가안정·주주가치
20210726000041,20210726,train,자기주식취득,임직원 보상
20210723000174,20210723,train,자기주식취득,주가안정·주주가치
20210721000078,20210721,train,자기주식취득,주가안정·주주가치
20210714000375,20210714,train,자기주식취득,주가안정·주주가치
20210709000088,20210709,train,자기주식취득,임직원 보상
20210708000169,20210708,train,자기주식취득,주가안정·주주가치
20210705000170,20210705,train,자기주식취득,주가안정·주주가치
20210831000468,20210831,train,자기주식취득,주가안정·주주가치
20210830000892,20210830,train,자기주식취득,기타
20210830000107,20210830,train,자기주식취득,임직원 보상
20210826000214,20210826,train,자기주식취득,기타
20210826000109,20210826,train,자기주식취득,주가안정·주주가치
20210823000238,20210823,train,자기주식취득,주가안정·주주가치
20210823000133,20210823,train,자기주식취득,주가안정·주주가치
20210823000004,20210823,train,자기주식취득,주가안정·주주가치
20210820000237,20210820,train,자기주식취득,주가안정·주주가치
20210818000176,20210818,train,자기주식취득,주가안정·주주가치
20210818000012,20210818,train,자기주식취득,임직원 보상
20210817002103,20210817,train,자기주식취득,주가안정·주주가치
20210817000398,20210817,train,자기주식취득,주가안정·주주가치
20210813001030,20210813,train,자기주식취득,주가안정·주주가치
20210805000166,20210805,train,자기주식취득,주가안정·주주가치
20210927000040,20210927,train,자기주식취득,주가안정·주주가치
20210916000249,20210916,train,자기주식취득,주가안정·주주가치
20210915000259,20210915,train,자기주식취득,주가안정·주주가치
20210914000114,20210914,train,자기주식취득,주가안정·주주가치
20210913000067,20210913,train,자기주식취득,소각
20210910000127,20210910,train,자기주식취득,임직원 보상
20210907000147,20210907,train,자기주식취득,주가안정·주주가치
20210903000047,20210903,train,자기주식취득,임직원 보상
20210903000011,20210903,train,자기주식취득,주가안정·주주가치
20211027000308,20211027,train,자기주식취득,기타
20211029000472,20211029,train,자기주식취득,
20211021000113,20211021,train,자기주식취득,주가안정·주주가치
20211014000352,20211014,train,자기주식취득,주가안정·주주가치
20211014000119,20211014,train,자기주식취득,주가안정·주주가치
20211013000443,20211013,train,자기주식취득,주가안정·주주가치
20211013000261,20211013,train,자기주식취득,주가안정·주주가치
20211013000064,20211013,train,자기주식취득,주가안정·주주가치
20211008000201,20211008,train,자기주식취득,주가안정·주주가치
20211008000197,20211008,train,자기주식취득,주가안정·주주가치
20211007000436,20211007,train,자기주식취득,기타
20211006000257,20211006,train,자기주식취득,주가안정·주주가치
20211006000190,20211006,train,자기주식취득,주가안정·주주가치
20211005000020,20211005,train,자기주식취득,주가안정·주주가치
20211001000422,20211001,train,자기주식취득,기타
20211001000091,20211001,train,자기주식취득,주가안정·주주가치
20211124000080,20211124,train,자기주식취득,주가안정·주주가치
20211123000321,20211123,train,자기주식취득,임직원 보상
20211122000312,20211122,train,자기주식취득,주가안정·주주가치
20211119000192,20211119,train,자기주식취득,주가안정·주주가치
20211118000168,20211118,train,자기주식취득,주가안정·주주가치
20211118000133,20211118,train,자기주식취득,
20211118000036,20211118,train,자기주식취득,주가안정·주주가치
20211117000189,20211117,train,자기주식취득,주가안정·주주가치
20211111000138,20211111,train,자기주식취득,주가안정·주주가치
20211110000195,20211110,train,자기주식취득,주가안정·주주가치
20211108000292,20211108,train,자기주식취득,주가안정·주주가치
20211108000078,20211108,train,자기주식취득,주가안정·주주가치
20211104000178,20211104,train,자기주식취득,주가안정·주주가치
20211104000028,20211104,train,자기주식취득,주가안정·주주가치
20211103000329,20211103,train,자기주식취득,주가안정·주주가치
20211103000163,20211103,train,자기주식취득,주가안정·주주가치
20211102000289,20211102,train,자기주식취득,주가안정·주주가치
20211101000173,20211101,train,자기주식취득,주가안정·주주가치
20211230000276,20211230,train,자기주식취득,기타
20211228000522,20211228,train,자기주식취득,주가안정·주주가치
20211228000464,20211228,train,자기주식취득,주가안정·주주가치
20211210000301,20211210,train,자기주식취득,주가안정·주주가치
20211207000292,20211207,train,자기주식취득,주가안정·주주가치
20211207000252,20211207,train,자기주식취득,소각
20211203000151,20211203,train,자기주식취득,임직원 보상
20211202000105,20211202,train,자기주식취득,주가안정·주주가치
20211201000044,20211201,train,자기주식취득,주가안정·주주가치
20220128000553,20220128,train,자기주식취득,주가안정·주주가치
20220127000239,20220127,train,자기주식취득,주가안정·주주가치
20220127000113,20220127,train,자기주식취득,주가안정·주주가치
20220127000084,20220127,train,자기주식취득,주가안정·주주가치
20220126000197,20220126,train,자기주식취득,주가안정·주주가치
20220121000287,20220121,train,자기주식취득,소각
20220119000429,20220120,train,자기주식취득,기타
20220119000086,20220119,train,자기주식취득,주가안정·주주가치
20220117000049,20220117,train,자기주식취득,임직원 보상
20220110000155,20220110,train,자기주식취득,주가안정·주주가치
20220110000154,20220110,train,자기주식취득,주가안정·주주가치
20220228004797,20220228,train,자기주식취득,주가안정·주주가치
20220225006620,20220225,train,자기주식취득,주가안정·주주가치
20220225004061,20220225,train,자기주식취득,임직원 보상
20220225002066,20220225,train,자기주식취득,주가안정·주주가치
